Delivery Date,Hour Ending,day ahead price
2016-04-20,04:00:00,16.45666667
2016-04-20,05:00:00,17.88166667
2016-04-20,06:00:00,21.2425
2016-04-20,07:00:00,21.64416667
2016-04-20,08:00:00,22.07583333
2016-04-20,09:00:00,22.88166667
2016-04-20,10:00:00,22.6525
2016-04-20,11:00:00,23.75416667
2016-04-20,12:00:00,25.23666667
2016-04-20,13:00:00,28.08583333
2016-04-20,14:00:00,31.08333333
2016-04-20,15:00:00,37.45916667
2016-04-20,16:00:00,37.4675
2016-04-20,17:00:00,29.75
2016-04-20,18:00:00,29.14416667
2016-04-20,19:00:00,25.02166667
2016-04-20,20:00:00,23.25
2016-04-20,21:00:00,21.27666667
2016-04-20,22:00:00,19.435
2016-04-20,23:00:00,17.48
2016-04-21,00:00:00,15.8225
2016-04-21,01:00:00,14.665
2016-04-21,02:00:00,14.08416667
2016-04-21,03:00:00,14.44416667
2016-04-21,04:00:00,15.36333333
2016-04-21,05:00:00,18.19
2016-04-21,06:00:00,20.60833333
2016-04-21,07:00:00,20.01833333
2016-04-21,08:00:00,19.43916667
2016-04-21,09:00:00,20.53166667
2016-04-21,10:00:00,21.33166667
2016-04-21,11:00:00,23.01833333
2016-04-21,12:00:00,24.32
2016-04-21,13:00:00,27.23333333
2016-04-21,14:00:00,28.60583333
2016-04-21,15:00:00,34.185
2016-04-21,16:00:00,37.0525
2016-04-21,17:00:00,28.94333333
2016-04-21,18:00:00,26.93166667
2016-04-21,19:00:00,23.35
2016-04-21,20:00:00,23.04833333
2016-04-21,21:00:00,21.05
2016-04-21,22:00:00,18.615
2016-04-21,23:00:00,16.94916667
2016-04-22,00:00:00,14.31333333
2016-04-22,01:00:00,12.6825
2016-04-22,02:00:00,12.42333333
2016-04-22,03:00:00,12.41833333
2016-04-22,04:00:00,13.53916667
2016-04-22,05:00:00,16.14416667
2016-04-22,06:00:00,20.30333333
2016-04-22,07:00:00,19.32083333
2016-04-22,08:00:00,19.575
